ts,hostname,fleet_host_id,ziti_identity,ziti_identity_id,prev_state,new_state,score,reasons,tdetect,tdecision,tenforce
2026-03-20T15:35:53.786402+00:00,tshark,4,ep-tshark,kfjxwdVj8r,,compliant,100,[],2026-03-20T15:35:53.666705+00:00,2026-03-20T15:35:53.779114+00:00,2026-03-20T15:35:53.786414+00:00
2026-03-20T15:39:36.890173+00:00,tshark,4,ep-tshark,kfjxwdVj8r,compliant,quarantine,67,"[""[Security] No Crypto-Miner (XMRig) Running""]",2026-03-20T15:39:36.693144+00:00,2026-03-20T15:39:36.854209+00:00,2026-03-20T15:39:36.890187+00:00
2026-03-20T15:41:20.728444+00:00,tshark,4,ep-tshark,kfjxwdVj8r,quarantine,compliant,100,[],2026-03-20T15:41:20.588038+00:00,2026-03-20T15:41:20.702289+00:00,2026-03-20T15:41:20.728460+00:00
2026-03-20T15:41:58.055478+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,quarantine,compliant,100,[],2026-03-20T15:41:57.980208+00:00,2026-03-20T15:41:58.028256+00:00,2026-03-20T15:41:58.055490+00:00
2026-03-21T03:23:59.226916+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,,quarantine,66,"[""All - Compliance marker present""]",2026-03-21T03:23:58.975761+00:00,2026-03-21T03:23:59.166526+00:00,2026-03-21T03:23:59.226932+00:00
2026-03-21T03:23:59.339921+00:00,TRUNG,2,ep-TRUNG,2snmfOSNXv,,quarantine,66,"[""All - Compliance marker present""]",2026-03-21T03:23:59.236617+00:00,2026-03-21T03:23:59.322820+00:00,2026-03-21T03:23:59.339948+00:00
2026-03-21T03:23:59.459812+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-21T03:23:59.344680+00:00,2026-03-21T03:23:59.445637+00:00,2026-03-21T03:23:59.459828+00:00
2026-03-21T03:23:59.866761+00:00,tshark,4,ep-tshark,kfjxwdVj8r,,compliant,100,[],2026-03-21T03:23:59.465198+00:00,2026-03-21T03:23:59.852378+00:00,2026-03-21T03:23:59.866780+00:00
2026-03-21T03:26:13.038388+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,,quarantine,66,"[""All - Compliance marker present""]",2026-03-21T03:26:12.967783+00:00,2026-03-21T03:26:13.024606+00:00,2026-03-21T03:26:13.038401+00:00
2026-03-21T03:26:13.091356+00:00,TRUNG,2,ep-TRUNG,2snmfOSNXv,,quarantine,66,"[""All - Compliance marker present""]",2026-03-21T03:26:13.041920+00:00,2026-03-21T03:26:13.079404+00:00,2026-03-21T03:26:13.091370+00:00
